Name of the interviewer,Select village,What category of respondent are you interviewing?,"1. Introduce yourself (say your name and where you have come from)
2. Introduce the project, stating that it is a stuent project and that you are mainly interested in their preferences for different meat, including beef and chicken.
3. Hand out the consent form. Continue if they agree to partake and thus sign the form.",What is the respondent's sex?,What is the respondent's ethnicity?,What is the year of birth of the respondent?,African brush-tailed porcupine,African buffalo,African civet (bush dog),African clawless otter,African dwarf crocodile,African elephant,African golden cat,African palm civet (civet),African palm weevil,African slender-snouted crocodile,Aquatic snails (nkonkor),Ball python,Bat,Bates' pygmy antelope,Bay duiker,Beef (cow),Black guineafowl,Black-bellied pangolin,Blue duiker (frutambo),Bushfowl,Calabar angwantibo,Cameroon red-eared monkey,Carp,Catfish,Central African rock python,Chameleon,Chicken,Chicken egg,Chimpanzee,Cobra,Common periwinkle,Cricket,Cross River gorilla,Crowned monkey,Cusimanse,Dog,Dried anchovies,Drill,Duck,Eagle,Freshwater crab,Freshwater shrimp and prawn,Frog and toads,Gaboon viper,Galago (or bushbaby),Genet (crested and Cape),Giant ground pangolin,Giant land snail,Giant pouched rat,Goat,Grasshopper,Greater cane rat (cutting grass),Guinea-pig,Harnessed bushbuck,Hawk and Kite,Helmeted guineafowl,Hornbill,Hyrax,Leopard,Lobster,Mamba,Mona monkey,Mongoose,Nile crocodile,Nile Monitor,Ogilby's duiker,Owl,Parrot,Patas monkey,Pigeon,Pork,Potto,Preuss's monkey,Preuss's red colobus (Colobus monkey),Putty-nosed monkey,Rabbit,Ratel (honey badger),Red river hog,Red-capped mangabey,Sardine and pilchard,Sclater's monkey,Sheep,Shrew (okornor),Sitatunga,Small bird,Spotted-necked otter,Squirrel,Stock fish,Termite,Tilapia,Tortoise,Turaco,Turkey,Turtle,Vulture,Water chevrotain,West African mackerel (ice fish),White-bellied pangolin,Yellow-backed duiker,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
Ebri,Mkpot 1,Household,Yes,Female,Ejagham,1977,10,999,999,999,10,7,10,10,999,9,8,10,7,10,5,5,999,10,6,6,999,8,5,2,10,8,10,9,999,6,5,9,999,5,10,8,6,10,999,999,8,10,999,4,999,5,999,5,10,10,10,8,9,7,8,9,999,999,10,10,999,999,999,999,4,999,999,999,999,999,5,999,999,999,999,10,4,10,999,6,999,999,6,999,5,4,6,6,3,6,10,999,999,999,999,5,999,10,999,177720983,06f63c51-5f8a-4097-995f-591394db3105,22/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,70
Dominic,Ifumkpa,Market,Yes,Female,Ibibio,1977,9,999,6,999,999,999,999,999,999,999,999,999,999,999,999,5,999,8,9,999,999,999,999,8,5,999,10,7,999,999,2,999,999,999,999,10,999,999,999,999,4,6,999,4,999,999,999,7,6,5,999,9,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,7,999,999,999,999,999,999,6,999,999,999,999,999,999,999,999,999,2,2,6,999,999,8,999,999,999,7,999,999,183369274,72c15abd-c9ce-45a2-9797-2e98d506d7df,11/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,196
Dominic,Iko Esai,Market,Yes,Female,Ejagham,1977,10,999,999,999,999,999,999,999,999,999,999,1,999,999,1,1,999,9,999,999,999,999,9,999,999,999,10,10,999,999,2,999,999,999,999,8,2,999,9,999,999,1,999,999,999,999,999,1,1,9,999,2,999,9,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,10,2,999,999,999,999,999,999,999,999,9,9,999,10,999,999,999,999,999,10,9,999,183369295,64ae15b8-2958-46fd-9d7a-972f37882d44,11/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,203
Dominic,Ochon,Market,Yes,Female,Other,1977,10,3,6,6,6,999,5,6,1,4,3,6,1,5,7,5,8,10,8,3,4,4,8,6,5,2,9,8,999,3,2,999,999,6,5,10,2,4,1,999,3,9,6,4,7,5,999,9,8,8,999,9,999,7,6,8,999,2,5,4,5,4,999,999,6,6,3,7,6,4,8,5,5,6,6,7,3,10,9,999,999,7,8,7,999,5,2,4,2,5,5,2,8,999,999,7,9,10,7,183720278,9381ab98-1977-46aa-93b7-8251380475e8,12/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,241
Ebri,Okwa I,Household,Yes,Female,Boki,1977,9,999,999,999,999,999,999,7,999,999,10,10,999,999,1,10,999,999,999,8,999,999,10,10,999,999,10,10,999,999,4,999,999,999,5,3,4,999,999,999,6,10,999,4,999,999,999,10,6,7,999,7,999,999,999,7,1,999,999,10,2,999,999,999,8,6,999,999,999,999,10,8,999,999,999,999,999,10,999,999,999,6,999,999,2,999,9,8,999,999,8,999,999,8,999,8,8,999,999,187241683,b0ca90da-5cf8-4bda-a412-4a9d681be9c2,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,439
Ben,Butatong,Hunter,Yes,Male,Boki,1977,10,9,5,999,9,10,999,8,6,9,10,9,999,1,1,1,999,8,9,999,999,8,999,999,9,999,10,999,8,10,999,999,8,8,9,999,999,8,999,999,999,999,999,9,5,5,999,10,1,1,1,7,999,1,1,7,1,999,999,999,1,999,999,999,9,999,999,999,999,999,6,7,999,999,6,999,999,10,8,999,999,999,10,999,999,999,999,999,10,999,999,1,7,9,999,7,999,10,999,187290136,f58c7654-dc4e-4de3-8ad9-7c46238ca837,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,486
Ben,Okwangwo,Hunter,Yes,Male,Boki,1977,10,7,999,999,1,10,999,6,999,1,2,4,1,7,10,9,999,10,7,3,6,8,2,2,4,999,3,3,8,4,2,999,5,8,9,9,999,999,3,3,2,2,999,4,8,4,999,9,9,6,999,10,999,6,3,10,3,999,999,2,7,8,999,999,1,7,999,999,999,999,4,6,999,8,8,999,999,10,8,999,999,4,4,7,3,999,5,5,999,999,10,3,10,999,999,1,9,10,999,187290422,76c549e1-e16e-4579-909c-800bf48910cd,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,531
Dominic,Okarara,Market,Yes,Female,Ejagham,1978,3,999,999,999,999,999,999,999,999,999,999,999,999,999,999,2,999,10,999,999,999,999,999,999,999,999,8,7,999,999,5,999,999,999,999,2,999,999,999,999,999,7,999,999,999,999,999,9,999,2,999,8,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,4,999,999,999,999,999,999,999,999,999,6,999,999,999,999,999,999,999,999,999,10,999,176873474,6b482882-a17f-4122-9cd3-327d5e3902ec,18/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,3
Ebri,Aningeje,Household,Yes,Female,Ejagham,1978,10,6,999,999,999,7,999,999,999,999,999,999,999,999,999,10,999,10,999,999,999,8,10,4,999,999,999,9,999,999,9,999,999,999,999,999,999,6,999,999,5,10,999,999,999,999,999,10,999,10,999,10,999,7,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,10,999,999,999,999,999,999,999,999,999,10,5,999,999,999,999,999,999,10,5,999,999,181085994,0a12433b-0262-40e5-b175-e53528d8b3c6,03/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,98
Ben,Ifumkpa,Hunter,Yes,Male,Ejagham,1978,10,999,999,999,10,999,999,6,10,10,1,4,999,8,7,8,8,10,9,999,999,8,10,10,9,999,7,10,999,3,9,999,999,7,10,9,999,6,999,999,4,999,999,4,999,9,999,2,2,3,999,10,999,3,999,999,5,999,999,7,7,8,10,999,10,9,999,999,999,999,8,6,999,7,999,999,999,10,7,3,999,999,999,999,999,999,5,5,999,8,4,999,999,999,999,9,10,5,999,182830061,6739f8c7-b35b-4f3d-9201-c2354f7b2f40,09/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,136
Ebri,Ifumkpa,Household,Yes,Female,Efut,1978,10,999,999,999,999,8,999,999,999,2,10,999,999,8,999,8,999,10,999,10,999,8,10,10,999,999,10,10,999,999,999,999,999,999,10,999,10,999,10,999,999,10,999,999,999,999,999,10,999,10,999,10,999,999,8,9,8,999,999,10,999,999,999,999,10,999,999,999,999,999,3,999,999,999,8,999,999,10,999,999,999,999,6,999,999,999,999,10,10,999,8,999,999,999,999,999,8,9,1,182837309,590c7c04-23ae-4f53-a71d-7f66c85f7cb4,09/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,152
Ebri,Agoi Ibami,Household,Yes,Male,Yakurr,1978,10,999,999,999,999,999,2,5,999,999,8,7,999,999,4,5,999,6,999,999,999,999,8,8,999,999,7,7,999,9,5,999,999,999,999,5,999,999,999,999,6,6,999,9,999,999,999,8,2,3,6,2,999,4,999,2,999,9,999,6,9,999,999,999,9,4,999,999,999,999,4,999,999,999,999,999,999,8,999,999,999,999,2,999,999,2,999,2,6,999,3,999,1,999,999,999,1,10,999,183360186,8572a001-6090-4b99-b93a-739fd7acf3a7,11/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,167
Dominic,Obung,Market,Yes,Male,Ejagham,1978,6,999,5,999,2,999,999,3,999,2,9,1,999,5,5,5,7,10,999,999,999,8,4,4,1,999,9,9,8,999,9,999,999,8,999,6,999,8,7,999,4,4,999,1,999,3,10,9,999,5,999,3,999,5,999,7,7,999,999,4,999,8,999,999,2,999,999,999,999,999,999,999,8,8,8,999,999,6,8,999,999,999,999,999,999,999,999,2,999,999,10,999,999,999,999,999,7,10,999,183369171,7f6761c2-90ee-47c0-bdd4-21ad34fd5e1a,11/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,181
Dominic,Ochon,Market,Yes,Female,Other,1978,9,999,999,999,999,999,999,10,999,999,6,999,999,4,999,10,2,6,999,3,999,999,9,5,999,999,6,7,999,999,6,999,999,999,999,999,7,999,1,999,1,8,2,999,999,999,999,1,2,4,999,10,999,999,999,2,999,5,999,999,999,999,999,999,999,5,999,999,999,999,999,999,999,999,999,6,1,8,3,999,999,999,999,7,999,999,999,7,7,999,999,999,7,999,999,999,9,6,999,183720281,68e1afb6-d802-41cc-8b14-a796a0a10bc6,12/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,242
Ebri,Ochon,Household,Yes,Female,Other,1978,5,6,999,999,999,999,999,3,999,999,3,999,999,999,999,10,6,999,999,6,999,999,8,9,999,999,10,10,999,999,6,999,999,999,999,999,3,999,999,999,5,6,999,999,999,999,999,10,10,10,999,6,999,999,999,999,999,999,999,6,999,999,999,999,999,999,999,999,999,999,7,999,999,999,999,999,999,5,999,999,999,999,9,999,5,999,9,9,6,8,2,4,9,9,999,999,10,8,999,183739681,4016a490-edde-4d25-9a5c-b5b6ba0feea6,12/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,257
Ebri,Abo Ogbagante,Household,Yes,Female,Boki,1978,8,1,999,999,1,4,999,8,999,1,10,7,8,7,9,6,999,6,9,999,2,8,10,7,9,999,7,9,999,999,8,999,999,10,6,999,6,999,8,999,999,6,999,6,999,7,999,7,5,7,10,10,999,6,999,5,999,999,2,999,999,10,999,999,999,999,999,999,999,999,10,10,999,999,999,5,5,7,999,999,999,999,10,999,999,999,7,6,10,999,4,999,10,999,999,8,10,10,999,184791532,e762209c-4628-4fa9-b7b4-89d848fe2303,15/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,270
Dominic,Butatong,Market,Yes,Female,Igbo,1978,10,999,999,999,999,999,999,999,999,999,10,999,999,999,10,10,999,999,10,999,999,999,10,10,999,999,10,10,999,999,10,999,999,999,999,999,999,999,999,999,999,10,999,999,999,999,999,10,10,10,999,10,999,999,999,999,999,999,999,10,999,999,999,999,999,10,999,999,999,999,999,999,999,999,999,999,999,10,999,999,999,999,999,999,999,999,999,10,10,999,999,999,10,999,999,999,6,10,999,185099424,95b090c0-9b17-4bdd-9ea4-81e1ae418470,16/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,329
Dominic,Okwangwo,Market,Yes,Male,Boki,1978,10,3,999,999,3,999,999,3,999,3,6,7,3,6,6,5,6,10,6,6,6,6,2,5,3,3,9,7,999,7,3,999,999,999,6,10,2,999,999,999,4,7,999,5,6,5,999,6,6,5,999,8,999,6,3,5,4,999,999,8,7,6,5,999,4,6,999,999,999,5,7,6,5,5,4,999,999,6,5,999,999,999,6,999,999,999,3,6,1,5,3,999,999,3,999,9,9,10,999,187221497,7d329bca-fe84-43d3-8f91-9867b5e57835,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,349
Dominic,Okwa I,Market,Yes,Female,Boki,1978,9,999,999,999,999,999,5,4,999,999,7,999,999,999,6,10,999,999,6,2,999,999,8,2,999,999,10,10,999,999,999,999,999,999,7,999,999,999,999,999,999,10,999,999,999,999,999,7,4,8,999,10,999,9,999,5,999,999,999,10,999,999,8,999,999,2,999,999,999,999,9,999,999,999,999,2,999,10,999,999,999,999,999,999,999,999,999,10,999,999,999,999,999,999,999,999,7,999,1,187221585,578d7c56-2135-496d-bfad-b5899ed1011e,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,357
Ebri,Okwa II,Household,Yes,Female,Boki,1978,10,999,5,999,2,6,3,7,999,1,7,6,5,6,1,8,2,10,5,10,999,999,8,9,7,999,9,8,5,2,3,999,999,999,8,999,1,7,2,999,1,10,999,8,1,5,999,3,3,7,999,7,999,6,999,10,3,6,999,10,1,5,999,1,10,5,999,1,999,5,999,8,999,999,999,3,4,8,5,6,2,999,9,999,7,999,1,3,3,5,5,999,1,4,999,999,2,10,5,187241893,d991ef13-9b28-43f3-9351-e9c7c2b8a723,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,454
Ebri,Okwa II,Household,Yes,Female,Boki,1978,10,1,6,10,5,7,3,7,999,3,5,8,5,1,1,2,999,10,6,7,5,3,5,5,8,999,6,6,999,3,7,999,5,10,7,1,6,5,1,999,4,4,999,2,7,10,999,6,6,1,999,9,999,8,1,6,6,999,2,4,8,10,1,999,3,2,999,999,999,999,5,3,999,999,3,9,999,10,999,1,2,999,5,999,3,999,2,3,5,6,9,4,2,3,999,2,10,10,1,187241971,d86e7fe6-f5eb-4d5b-8b2c-3e88b38375a8,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,459
Ebri,Okwa II,Household,Yes,Female,Boki,1978,5,9,999,999,2,3,5,4,999,999,9,7,999,999,3,3,5,10,9,4,10,999,1,1,7,999,6,10,999,999,5,999,999,999,10,999,1,999,6,999,2,2,999,7,999,4,999,2,4,8,999,5,999,9,999,4,4,999,999,2,7,4,999,999,4,9,999,999,999,999,6,999,999,999,999,6,999,8,999,999,999,999,6,999,1,999,6,10,999,5,6,999,6,999,999,6,8,6,999,187242011,bee7e15b-1c61-4cf3-87cf-147354677254,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,465
Ben,Okwa I,Hunter,Yes,Male,Boki,1978,4,999,999,999,999,999,10,4,9,999,10,7,999,6,999,5,999,1,9,4,999,999,9,9,10,999,3,10,999,10,7,999,999,999,6,10,999,999,2,999,999,9,999,8,2,999,999,8,5,3,999,10,999,999,999,999,10,999,999,7,10,999,10,999,10,4,999,999,999,999,10,9,999,999,999,999,999,10,999,5,999,999,9,999,999,999,10,7,999,10,5,10,999,6,999,8,10,1,999,187290357,36c26dc2-03ee-4693-9781-7fe632c845fc,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,522
Ebri,Okarara,Household,Yes,Female,Ejagham,1979,10,999,999,999,2,999,999,999,999,2,999,999,999,999,999,8,999,8,999,999,999,6,9,1,999,999,10,7,999,999,10,999,999,2,999,999,6,999,999,999,1,10,999,999,999,999,999,10,3,10,1,6,999,999,999,999,999,999,6,5,999,5,999,999,999,9,999,999,999,999,9,999,999,999,999,5,999,10,999,5,999,999,999,999,999,999,6,8,1,999,5,999,999,999,999,999,8,999,2,176888248,3e49c0d0-91a5-4fe0-96ec-072cdd8604e1,18/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,27
Ben,Mkpot 1,Hunter,Yes,Male,Ejagham,1979,10,999,999,8,8,9,5,9,999,8,5,10,9,8,8,5,3,10,5,999,1,10,10,10,10,999,8,5,9,10,5,999,10,10,7,10,9,10,999,999,8,10,999,10,5,5,999,6,9,2,999,5,999,999,999,8,5,999,999,10,10,10,6,999,6,6,999,999,999,999,8,2,999,999,10,999,999,10,10,8,999,999,9,999,999,8,5,9,9,7,5,5,999,999,999,999,10,10,999,177420307,73a3e556-dd14-4ab6-ba1e-29382b4bbcfa,21/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,45
Ebri,Mkpot 1,Household,Yes,Female,Ejagham,1979,10,999,999,999,1,1,999,10,999,999,9,999,999,10,10,10,999,10,5,999,999,9,10,9,999,999,2,10,999,999,10,999,999,999,10,999,10,999,999,999,999,10,999,999,999,999,999,10,4,999,3,8,999,4,999,10,10,999,5,10,999,2,999,10,9,9,999,5,999,999,6,999,999,999,999,999,999,6,999,999,999,999,9,999,999,999,999,8,10,2,8,999,999,10,999,7,5,10,999,177721028,64980f9b-2464-45ff-b672-be821fa5c40e,22/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,78
Dominic,Ifumkpa,Market,Yes,Female,Ejagham,1979,10,2,999,999,999,9,8,999,999,4,4,999,2,7,999,9,999,10,4,6,8,10,2,2,999,999,6,1,10,999,7,999,999,9,999,5,3,9,1,999,5,5,999,999,999,999,10,10,4,8,999,10,999,2,999,6,1,999,999,1,999,999,999,999,2,3,999,999,999,999,999,999,999,999,999,8,999,10,6,999,999,999,6,999,999,999,9,3,5,999,4,999,3,999,999,999,9,10,999,183369204,63ae82e1-ea6f-4cd9-aa8e-9c34d9f2ab2b,11/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,195
Dominic,Agoi Ibami,Market,Yes,Male,Yakurr,1979,10,999,999,999,999,999,999,999,1,999,3,6,999,5,5,5,999,10,6,999,3,999,6,6,8,999,9,5,999,999,3,999,999,999,999,9,3,999,999,999,7,9,999,999,999,999,999,9,7,8,999,6,999,5,999,8,6,999,999,7,999,999,999,999,6,4,999,999,999,999,5,3,999,999,999,999,999,8,999,999,999,999,999,999,999,999,999,6,3,999,2,999,999,999,999,999,5,10,999,183369305,251b5db7-5d03-41dd-a116-3272bdf5a31f,11/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,209
Dominic,Bamba,Market,Yes,Female,Other,1979,3,999,999,999,999,999,999,999,999,999,999,999,999,999,999,10,999,2,999,999,999,999,7,5,999,999,4,8,999,999,7,999,999,999,999,999,999,2,999,999,999,3,999,999,999,999,999,9,2,6,999,3,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,1,999,999,999,999,999,999,999,999,999,6,1,999,999,999,999,999,999,999,5,2,999,184795173,1771b8a8-226b-4053-8da2-d037796f6216,15/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,287
Ebri,Okwangwo,Household,Yes,Female,Boki,1979,10,999,999,999,4,999,999,7,999,5,4,3,999,4,5,10,999,10,6,999,999,1,10,9,7,999,10,10,999,999,4,999,999,2,1,999,2,999,999,999,3,10,999,4,999,999,999,3,6,9,999,10,999,999,999,999,8,999,999,3,8,999,999,2,999,9,999,999,999,999,3,3,999,999,999,10,999,5,999,999,999,999,5,999,2,999,1,1,999,999,7,999,999,2,999,999,10,1,999,187241037,da747fb0-fa1a-4ec5-be88-660b4587f7fb,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,417
Ben,Butatong,Hunter,Yes,Male,Boki,1979,10,999,999,999,10,8,999,8,7,10,10,10,999,10,10,10,999,10,10,999,999,10,10,10,10,999,10,9,999,999,999,1,999,10,10,7,10,999,999,999,10,10,999,10,10,10,999,10,10,10,10,10,999,999,999,999,999,10,999,10,999,999,999,999,10,10,999,999,999,999,6,999,999,999,7,10,8,10,10,999,999,999,10,999,999,999,10,10,999,999,10,999,10,999,999,10,9,10,2,187290129,cddada75-92c9-4121-8d87-b2692def9149,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,484
Ben,Butatong,Hunter,Yes,Male,Boki,1979,7,999,999,999,999,999,999,7,9,999,4,5,999,4,4,5,999,8,6,999,999,8,9,10,10,999,10,10,999,999,8,999,999,9,9,999,6,999,999,999,7,8,999,4,999,999,999,8,8,8,999,10,999,999,6,999,999,999,999,7,999,999,999,999,8,9,999,999,999,999,5,999,999,999,9,999,999,10,999,2,999,999,999,999,999,999,6,9,999,9,999,999,999,999,999,9,9,10,999,187290163,5dde4dfe-184b-4a86-bb05-9733e9536167,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,491
Ben,Okarara,Hunter,Yes,Male,Ejagham,1980,9,9,9,9,9,9,999,9,999,999,9,10,9,999,9,9,9,9,9,999,9,9,9,9,10,999,9,9,9,999,9,999,999,999,9,9,9,999,9,999,9,9,999,9,9,9,9,9,9,9,999,9,999,999,999,9,999,999,999,9,999,9,9,999,9,9,999,999,999,999,9,9,9,9,9,9,9,9,9,9,999,999,9,999,999,999,999,9,999,9,9,9,999,999,999,999,9,9,999,176888208,12c295e4-ae6d-44a2-8e66-1f652acae904,18/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,22
Dominic,Mkpot 1,Market,Yes,Female,Ejagham,1980,10,999,999,999,999,8,999,4,2,8,7,999,5,999,4,2,999,10,4,5,3,3,10,10,999,999,10,10,999,999,10,999,999,3,1,10,6,10,999,999,9,10,999,999,999,999,9,10,4,6,999,9,999,5,999,999,999,999,999,10,999,3,999,9,999,999,999,999,999,999,9,999,999,999,5,999,999,10,999,999,999,999,999,999,999,999,999,10,1,999,10,999,999,999,999,999,999,10,999,177435456,70664e59-62e8-4424-adbe-97267ce0fca5,21/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,53
Dominic,Aningeje,Market,Yes,Male,Ejagham,1980,10,999,999,999,5,10,999,5,999,6,999,999,1,999,999,8,6,6,999,999,999,7,1,9,999,999,5,7,999,999,2,999,999,999,10,999,999,8,999,999,8,8,999,999,999,3,7,2,1,1,999,8,999,999,999,999,6,999,999,999,999,2,4,999,4,9,999,999,999,999,999,1,999,999,999,999,999,10,4,999,999,999,999,999,999,999,2,999,999,999,8,999,4,999,999,9,999,5,999,181086841,2e30611b-f43d-480d-9b7e-10dd93a43b01,03/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,111
Ben,Obung,Hunter,Yes,Male,Ejagham,1980,8,999,999,999,999,3,999,999,999,999,2,999,999,999,999,7,999,6,4,999,999,999,999,10,5,999,9,1,999,999,2,3,999,999,10,5,4,9,5,999,5,8,999,999,999,999,8,4,8,2,999,4,999,999,999,1,999,999,999,8,999,999,10,999,3,2,999,999,999,999,5,999,999,999,999,999,999,9,999,999,999,999,999,999,999,999,999,2,8,8,2,999,999,999,999,999,5,6,999,182829821,22491897-9244-429f-bf52-915758c12d46,09/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,118
Ben,Obung,Hunter,Yes,Male,Ejagham,1980,10,4,9,1,9,10,999,10,10,10,9,9,5,10,10,10,10,10,8,10,7,10,10,10,10,999,10,10,10,3,10,999,5,1,9,10,8,9,10,1,10,10,999,1,1,10,10,10,999,10,999,10,999,6,9,10,4,6,999,6,1,10,10,999,10,10,999,10,10,999,10,7,10,10,10,999,3,1,10,10,10,999,999,999,9,8,2,10,9,10,8,8,999,5,999,1,10,10,999,182829884,ad694846-99e2-438e-9347-691af261baa8,09/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,122
Ebri,Obung,Household,Yes,Male,Ejagham,1980,10,1,2,999,2,1,999,5,999,6,10,2,6,5,10,5,3,10,7,1,1,2,10,10,999,999,10,10,999,999,10,5,999,3,7,10,10,999,5,999,6,10,999,999,999,2,999,9,9,10,2,10,999,999,999,999,5,999,999,10,999,10,999,9,9,5,999,1,999,999,10,999,999,999,999,1,999,10,999,999,999,6,10,999,8,999,5,10,8,4,9,5,1,999,999,999,9,10,8,182837018,7e60f519-c0b8-4b2a-919f-50a19017d91e,09/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,145
Ebri,Obung,Household,Yes,Female,Ejagham,1980,10,999,999,999,999,999,999,999,999,999,999,999,999,999,2,4,999,10,999,999,999,999,4,6,999,999,5,9,999,999,6,999,999,999,5,4,2,999,999,999,999,999,999,999,999,999,999,5,10,10,999,2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,10,999,999,999,999,999,999,10,999,999,999,999,999,999,999,999,999,3,999,999,999,999,999,999,999,999,1,999,999,182837273,9b790673-4c81-46c3-8f1c-f191ccfa40eb,09/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,148
Dominic,Obung,Market,Yes,Female,Ejagham,1980,10,999,999,999,5,4,4,10,999,8,999,999,999,999,10,2,2,2,999,999,999,999,9,7,999,999,8,8,999,999,5,999,999,999,999,7,3,999,2,999,7,6,999,999,3,5,7,9,10,7,999,9,999,6,999,999,1,999,10,4,999,7,999,6,999,9,999,999,999,999,999,999,4,8,999,999,999,1,999,999,999,999,2,999,999,5,9,6,7,999,3,3,999,999,999,999,6,6,999,183369173,ce0b4300-fb4b-45d5-8a30-676ae7015cd9,11/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,182
Dominic,Obung,Market,Yes,Female,Ejagham,1980,10,999,999,4,2,999,999,999,999,10,10,999,999,4,999,10,999,10,999,999,999,999,4,10,999,999,10,10,999,999,10,999,999,999,999,5,999,999,999,999,4,10,999,999,999,999,10,10,999,10,999,4,999,999,999,999,999,999,999,10,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,10,999,999,999,999,999,999,999,999,4,4,999,10,999,999,999,999,999,8,10,999,183369177,596ff0f8-4a7f-4ee1-af27-432084ada96f,11/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,183
Dominic,Iko Esai,Market,Yes,Female,Ejagham,1980,10,999,999,999,999,999,999,999,999,999,2,2,999,999,999,3,999,10,999,999,999,999,8,10,1,999,10,9,999,2,9,999,999,999,999,7,999,999,999,999,3,4,999,4,999,999,999,7,2,8,999,7,999,999,999,6,999,999,999,999,999,999,999,999,10,999,999,999,999,999,3,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,5,9,999,5,999,999,999,999,999,9,10,999,183369301,16989d62-217e-485c-bbf3-cf3107490f92,11/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,206
Ben,Agoi Ibami,Hunter,Yes,Male,Ejagham,1980,10,5,10,9,9,6,9,10,5,10,5,10,9,10,10,7,9,10,6,7,2,8,9,9,10,999,4,7,7,10,4,999,6,9,10,8,3,6,7,10,4,10,999,10,2,7,10,5,7,6,999,10,999,9,9,9,9,9,999,10,7,7,8,999,9,8,999,999,999,999,9,10,999,5,5,999,999,9,9,2,999,999,7,999,999,7,8,8,6,8,8,8,10,9,999,999,5,10,999,183501847,e4ad164d-b4f2-4b64-9b76-3a7b91260deb,12/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,237
