Name of the interviewer,Select village,What category of respondent are you interviewing?,"1. Introduce yourself (say your name and where you have come from)
2. Introduce the project, stating that it is a stuent project and that you are mainly interested in their preferences for different meat, including beef and chicken.
3. Hand out the consent form. Continue if they agree to partake and thus sign the form.",What is the respondent's sex?,What is the respondent's ethnicity?,What is the year of birth of the respondent?,African brush-tailed porcupine,African buffalo,African civet (bush dog),African clawless otter,African dwarf crocodile,African elephant,African golden cat,African palm civet (civet),African palm weevil,African slender-snouted crocodile,Aquatic snails (nkonkor),Ball python,Bat,Bates' pygmy antelope,Bay duiker,Beef (cow),Black guineafowl,Black-bellied pangolin,Blue duiker (frutambo),Bushfowl,Calabar angwantibo,Cameroon red-eared monkey,Carp,Catfish,Central African rock python,Chameleon,Chicken,Chicken egg,Chimpanzee,Cobra,Common periwinkle,Cricket,Cross River gorilla,Crowned monkey,Cusimanse,Dog,Dried anchovies,Drill,Duck,Eagle,Freshwater crab,Freshwater shrimp and prawn,Frog and toads,Gaboon viper,Galago (or bushbaby),Genet (crested and Cape),Giant ground pangolin,Giant land snail,Giant pouched rat,Goat,Grasshopper,Greater cane rat (cutting grass),Guinea-pig,Harnessed bushbuck,Hawk and Kite,Helmeted guineafowl,Hornbill,Hyrax,Leopard,Lobster,Mamba,Mona monkey,Mongoose,Nile crocodile,Nile Monitor,Ogilby's duiker,Owl,Parrot,Patas monkey,Pigeon,Pork,Potto,Preuss's monkey,Preuss's red colobus (Colobus monkey),Putty-nosed monkey,Rabbit,Ratel (honey badger),Red river hog,Red-capped mangabey,Sardine and pilchard,Sclater's monkey,Sheep,Shrew (okornor),Sitatunga,Small bird,Spotted-necked otter,Squirrel,Stock fish,Termite,Tilapia,Tortoise,Turaco,Turkey,Turtle,Vulture,Water chevrotain,West African mackerel (ice fish),White-bellied pangolin,Yellow-backed duiker,_id,_uuid,_submission_time,_validation_status,_notes,_status,_submitted_by,__version__,_tags,_index
Ben,Agoi Ibami,Hunter,Yes,Male,Yakurr,1952,10,999,999,5,10,999,10,999,999,10,1,10,2,8,8,5,2,10,8,2,5,6,1,1,10,999,2,2,10,4,1,999,10,6,9,8,4,10,2,999,1,1,999,10,6,4,10,1,5,3,999,9,999,7,2,2,10,999,999,1,999,6,999,999,10,7,2,999,999,2,8,10,999,999,6,999,999,9,9,1,999,999,5,999,2,5,999,999,999,1,4,2,2,3,999,10,2,10,999,183501807,d4d8c468-66c3-42aa-9e0d-646e2967828c,12/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,229
Ebri,Mkpot 1,Household,Yes,Male,Ejagham,1953,9,9,7,6,4,9,7,4,2,3,5,1,999,1,999,4,10,4,999,3,5,6,7,8,4,6,5,5,7,9,8,6,999,2,3,3,2,8,4,9,1,9,1,2,6,3,7,4,2,5,3,8,999,2,999,999,999,999,999,8,7,999,3,999,1,999,999,999,999,999,5,4,2,5,6,10,8,9,999,5,3,999,10,1,2,999,3,2,6,5,1,1,5,5,999,5,6,4,999,177721011,1ecc9850-5b6b-45db-b636-daf23aa72fde,22/08/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,75
Dominic,Aningeje,Market,Yes,Male,Efik,1953,9,999,999,999,3,999,999,2,1,4,3,999,999,4,4,6,3,999,4,4,5,3,7,3,999,2,10,9,3,3,2,1,3,3,5,10,1,3,5,999,10,10,999,999,6,6,999,8,8,7,999,8,999,5,999,5,999,999,999,8,999,3,5,5,7,7,2,4,3,999,8,4,3,3,3,999,999,8,3,999,3,5,5,7,999,6,999,7,1,5,5,999,5,5,999,5,5,999,999,181086834,ae5dac9c-e135-4601-88aa-4bded75d7a75,03/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,110
Ebri,Obung,Household,Yes,Male,Ejagham,1954,10,999,999,999,999,9,10,999,999,10,6,999,999,10,10,10,999,10,10,3,999,999,10,4,999,999,10,10,4,999,999,3,999,10,10,3,5,10,2,999,3,10,999,999,999,10,10,5,6,10,999,10,999,10,999,10,999,999,10,10,999,999,999,999,10,5,999,1,6,4,6,3,2,999,10,6,999,8,999,999,999,1,10,999,3,999,999,2,999,999,2,999,999,1,999,1,5,10,7,182837280,69c7ba22-19c8-4e8e-b8db-71d2c7355476,09/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,149
Dominic,Aningeje,Market,Yes,Female,Ibibio,1955,9,2,3,999,999,999,999,999,999,999,7,999,999,8,8,5,5,9,8,6,8,999,7,8,999,999,9,8,999,999,4,999,999,999,6,8,1,999,999,999,9,10,999,999,7,6,999,8,5,5,999,8,999,7,999,6,999,999,999,9,999,6,7,5,5,5,999,999,999,999,7,5,999,999,3,999,4,5,999,3,999,999,5,999,999,999,999,7,1,4,3,999,5,3,999,999,7,9,999,181086851,cea22e5a-825b-4b3d-b8d3-068847b00994,03/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,113
Ebri,Ifumkpa,Household,Yes,Female,Ejagham,1956,10,999,999,2,9,999,2,4,999,9,10,1,7,999,7,5,999,2,2,999,999,6,9,10,1,999,6,10,999,999,10,3,999,6,4,8,10,2,7,999,3,1,999,1,999,4,999,10,6,6,999,6,2,4,999,7,999,999,4,10,1,3,999,999,9,7,999,999,999,5,10,1,999,999,999,999,999,9,999,999,999,999,3,999,999,999,999,7,1,999,5,999,999,5,999,999,999,10,1,182836276,bc4af303-db38-4285-9ee4-ac1a12b979b7,09/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,142
Dominic,Okwangwo,Market,Yes,Female,Boki,1956,10,999,9,999,6,8,999,6,999,999,6,5,1,1,9,10,7,10,8,999,10,10,10,10,5,999,10,9,10,5,1,999,8,7,10,10,6,10,1,999,1,10,999,5,10,6,10,10,1,10,999,10,999,999,999,10,1,999,999,10,5,8,1,999,7,9,999,999,999,999,9,1,10,10,10,999,999,9,999,999,999,999,5,999,999,8,1,10,999,999,6,9,999,6,999,7,10,10,999,187221474,7d2f8e19-bdef-41f8-b8e2-325816dc78c7,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,347
Ebri,Okwa I,Household,Yes,Female,Boki,1956,10,999,999,999,999,10,999,7,999,999,7,7,999,5,999,3,10,999,6,999,8,10,4,9,7,999,3,4,999,999,999,999,999,10,9,999,999,10,9,999,7,9,999,7,7,7,999,9,5,4,999,9,999,2,999,999,1,999,9,1,7,6,999,999,7,5,999,999,999,999,10,999,999,999,999,8,999,10,999,7,999,2,999,999,999,999,999,6,999,999,7,999,999,7,999,8,7,8,999,187241652,b766617e-e7c6-4d3b-bd02-ebe517a32ac6,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,434
Dominic,Okwa I,Market,Yes,Female,Boki,1957,4,999,999,999,999,999,999,999,999,999,4,999,999,999,999,999,999,999,999,999,999,999,7,1,999,999,1,3,999,999,999,999,999,999,999,999,5,999,999,999,3,9,999,999,999,999,999,10,7,2,999,4,999,999,999,999,999,999,999,5,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,6,999,999,999,999,999,999,999,999,999,999,999,999,6,999,999,999,999,999,9,999,999,187221654,466c7ca8-5219-4bd9-90d2-429624df1c39,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,363
Dominic,Okwa II,Market,Yes,Female,Boki,1957,2,999,999,999,999,999,999,999,999,999,999,999,999,999,999,5,999,10,999,999,999,999,8,7,999,999,6,6,999,999,999,999,999,999,999,5,4,999,5,999,9,9,999,1,999,999,999,2,9,1,999,10,999,999,999,999,999,999,999,8,3,999,999,999,4,999,999,999,999,999,10,999,999,999,999,999,999,10,999,999,999,999,999,999,999,999,999,3,999,999,7,999,999,999,999,999,7,999,999,187221891,416e11eb-3d8b-4960-9fca-85d6a692989b,23/09/2022,,,submitted_via_web,,vLwRJc7hNLGWLVKPoQKhyS,,386
