"animal","type.respondent","category","median.score"
"Giant pouched rat","Hunter","Wild meat",7
"Giant pouched rat","Market","Wild meat",6
"Goat","Household","Domestic meat",8
"Goat","Hunter","Domestic meat",8
"Goat","Market","Domestic meat",7
"Grasshoppers","Household","Invertebrate",5
"Grasshoppers","Hunter","Invertebrate",8
"Grasshoppers","Market","Invertebrate",3
"Greater cane rat","Household","Wild meat",9
"Greater cane rat","Hunter","Wild meat",10
"Greater cane rat","Market","Wild meat",8
"Guinea pig","Household","Domestic meat",3.5
"Guinea pig","Hunter","Domestic meat",3.5
"Guinea pig","Market","Domestic meat",5
"Hawks and kites","Household","Wild meat",3
"Hawks and kites","Hunter","Wild meat",4
"Hawks and kites","Market","Wild meat",5
"Helmeted guineafowl","Household","Wild meat",7
"Helmeted guineafowl","Hunter","Wild meat",8
"Helmeted guineafowl","Market","Wild meat",7
"Honey badger","Household","Wild meat",5
"Honey badger","Hunter","Wild meat",7
"Honey badger","Market","Wild meat",4
"Hornbills","Household","Wild meat",5
"Hornbills","Hunter","Wild meat",5
"Hornbills","Market","Wild meat",6
"Hyraxes","Household","Wild meat",6
"Hyraxes","Hunter","Wild meat",7.5
"Hyraxes","Market","Wild meat",5
"Lobsters","Household","Invertebrate",7
"Lobsters","Hunter","Invertebrate",9
"Lobsters","Market","Invertebrate",8
"Mambas","Household","Wild meat",6
"Mambas","Hunter","Wild meat",7
"Mambas","Market","Wild meat",6
"Mona monkey","Household","Wild meat",6
"Mona monkey","Hunter","Wild meat",9
"Mona monkey","Market","Wild meat",7
"Mongooses","Household","Wild meat",5
"Mongooses","Hunter","Wild meat",8
"Mongooses","Market","Wild meat",6
"Nile crocodile","Household","Wild meat",5
"Nile crocodile","Hunter","Wild meat",9.5
"Nile crocodile","Market","Wild meat",6.5
"Nile monitor","Household","Wild meat",7
"Nile monitor","Hunter","Wild meat",8
"Nile monitor","Market","Wild meat",7
"Ogilby's duiker","Household","Wild meat",6
"Ogilby's duiker","Hunter","Wild meat",7
"Ogilby's duiker","Market","Wild meat",6
"Otters","Household","Wild meat",4
"Otters","Hunter","Wild meat",7.5
"Otters","Market","Wild meat",5.5
"Owls","Household","Wild meat",2
"Owls","Hunter","Wild meat",6
"Owls","Market","Wild meat",3
"Parrots","Household","Wild meat",3
"Parrots","Hunter","Wild meat",10
"Parrots","Market","Wild meat",6
"Patas monkey","Household","Wild meat",6
"Patas monkey","Hunter","Wild meat",10
"Patas monkey","Market","Wild meat",4
"Pigeons","Household","Wild meat",4.5
"Pigeons","Hunter","Wild meat",8
"Pigeons","Market","Wild meat",5
"Pork","Household","Domestic meat",6
"Pork","Hunter","Domestic meat",8
"Pork","Market","Domestic meat",7
"Potto","Household","Wild meat",5
"Potto","Hunter","Wild meat",6
"Potto","Market","Wild meat",5
"Preuss's monkey","Household","Wild meat",3
"Preuss's monkey","Hunter","Wild meat",9
"Preuss's monkey","Market","Wild meat",6
"Preuss's red colobus","Household","Wild meat",3
"Preuss's red colobus","Hunter","Wild meat",8
"Preuss's red colobus","Market","Wild meat",7
"Putty-nosed monkey","Household","Wild meat",6
"Putty-nosed monkey","Hunter","Wild meat",9
"Putty-nosed monkey","Market","Wild meat",7
"Rabbits","Household","Domestic meat",5
"Rabbits","Hunter","Domestic meat",8
"Rabbits","Market","Domestic meat",6.5
"Red river hog","Household","Wild meat",9
"Red river hog","Hunter","Wild meat",10
"Red river hog","Market","Wild meat",8
"Red-capped mangabey","Household","Wild meat",5
"Red-capped mangabey","Hunter","Wild meat",9
