"name.interviewer","village","type.respondent","sex","ethnicity","dob","animal","score","X_id","comm.type","category","number"
"Dominic","Okarara","Market","Female","Ejagham",1982,"Bushfowls",10,176873470,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Cameroon red-eared monkey",6,176873470,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Carp",6,176873470,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Catfish",10,176873470,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Chicken",10,176873470,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Chicken egg",6,176873470,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Chimpanzee",3,176873470,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Common periwinkle",10,176873470,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Cusimanses",10,176873470,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Anchovy",10,176873470,"Border","Fish",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Drill",10,176873470,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Duck",10,176873470,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Freshwater crab",1,176873470,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Freshwater shrimps",10,176873470,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Crested genet",2,176873470,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Giant pangolin",10,176873470,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Giant land snail",10,176873470,"Border","Invertebrate",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Giant pouched rat",3,176873470,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Goat",10,176873470,"Border","Domestic meat",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Greater cane rat",10,176873470,"Border","Wild meat",1
"Dominic","Okarara","Market","Female","Ejagham",1982,"Helmeted guineafowl",10,176873470,"Border","Wild meat",1
